matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
nd24k,parallel,static,1000,64,static_c1000_t64,44.3077,10
nd24k,parallel,static,10000,1,static_c10000_t1,20.201,10
nd24k,parallel,static,10000,2,static_c10000_t2,12.9019,10
nd24k,parallel,static,10000,4,static_c10000_t4,6.3858999999999995,10
nd24k,parallel,static,10000,8,static_c10000_t8,5.261,10
nd24k,parallel,static,10000,16,static_c10000_t16,4.7318,10
nd24k,parallel,static,10000,32,static_c10000_t32,21.865599999999997,10
nd24k,parallel,static,10000,64,static_c10000_t64,31.002299999999998,10
nd24k,parallel,dynamic,1,1,dynamic_c1_t1,22.320800000000002,10
nd24k,parallel,dynamic,1,2,dynamic_c1_t2,17.2211,10
nd24k,parallel,dynamic,1,4,dynamic_c1_t4,14.9935,10
nd24k,parallel,dynamic,1,8,dynamic_c1_t8,10.496699999999999,10
nd24k,parallel,dynamic,1,16,dynamic_c1_t16,9.1708,10
nd24k,parallel,dynamic,1,32,dynamic_c1_t32,8.436499999999999,10
nd24k,parallel,dynamic,1,64,dynamic_c1_t64,34.5581,10
nd24k,parallel,dynamic,10,1,dynamic_c10_t1,20.4266,10
nd24k,parallel,dynamic,10,2,dynamic_c10_t2,13.8095,10
nd24k,parallel,dynamic,10,4,dynamic_c10_t4,8.6279,10
nd24k,parallel,dynamic,10,8,dynamic_c10_t8,7.2562,10
nd24k,parallel,dynamic,10,16,dynamic_c10_t16,7.196399999999998,10
nd24k,parallel,dynamic,10,32,dynamic_c10_t32,10.698399999999998,10
nd24k,parallel,dynamic,10,64,dynamic_c10_t64,64.49289999999999,10
nd24k,parallel,dynamic,100,1,dynamic_c100_t1,20.234199999999998,10
nd24k,parallel,dynamic,100,2,dynamic_c100_t2,10.2345,10
nd24k,parallel,dynamic,100,4,dynamic_c100_t4,8.242299999999998,10
nd24k,parallel,dynamic,100,8,dynamic_c100_t8,7.1034999999999995,10
nd24k,parallel,dynamic,100,16,dynamic_c100_t16,6.6598,10
nd24k,parallel,dynamic,100,32,dynamic_c100_t32,28.584699999999987,10
nd24k,parallel,dynamic,100,64,dynamic_c100_t64,62.39999999999999,10
nd24k,parallel,dynamic,1000,1,dynamic_c1000_t1,20.0393,10
nd24k,parallel,dynamic,1000,2,dynamic_c1000_t2,10.1368,10
nd24k,parallel,dynamic,1000,4,dynamic_c1000_t4,7.8023,10
nd24k,parallel,dynamic,1000,8,dynamic_c1000_t8,7.714,10
nd24k,parallel,dynamic,1000,16,dynamic_c1000_t16,7.819899999999996,10
nd24k,parallel,dynamic,1000,32,dynamic_c1000_t32,6.5531999999999995,10
nd24k,parallel,dynamic,1000,64,dynamic_c1000_t64,36.9344,10
nd24k,parallel,dynamic,10000,1,dynamic_c10000_t1,20.1794,10
nd24k,parallel,dynamic,10000,2,dynamic_c10000_t2,10.934299999999999,10
nd24k,parallel,dynamic,10000,4,dynamic_c10000_t4,8.8612,10
nd24k,parallel,dynamic,10000,8,dynamic_c10000_t8,7.8975,10
nd24k,parallel,dynamic,10000,16,dynamic_c10000_t16,7.7250000000000005,10
nd24k,parallel,dynamic,10000,32,dynamic_c10000_t32,26.15,10
nd24k,parallel,dynamic,10000,64,dynamic_c10000_t64,8.104,10
nd24k,parallel,guided,1,1,guided_c1_t1,20.2665,10
