run_type,mode,schedule,chunk,threads,repeat,metric,value,log_file
parallel,code,guided,100,1,2,time,0.000025,../results/logs/guided_c100_t1.log
parallel,code,guided,100,1,3,time,0.000026,../results/logs/guided_c100_t1.log
parallel,code,guided,100,2,1,time,0.000198,../results/logs/guided_c100_t2.log
parallel,code,guided,100,2,2,time,0.000167,../results/logs/guided_c100_t2.log
parallel,code,guided,100,2,3,time,0.000122,../results/logs/guided_c100_t2.log
parallel,code,guided,100,4,1,time,0.000246,../results/logs/guided_c100_t4.log
parallel,code,guided,100,4,2,time,0.000224,../results/logs/guided_c100_t4.log
parallel,code,guided,100,4,3,time,0.000210,../results/logs/guided_c100_t4.log
parallel,code,guided,100,8,1,time,0.000383,../results/logs/guided_c100_t8.log
parallel,code,guided,100,8,2,time,0.000382,../results/logs/guided_c100_t8.log
parallel,code,guided,100,8,3,time,0.000417,../results/logs/guided_c100_t8.log
